variant,n,accuracy,precision_RCT,recall_RCT,f1_RCT,mean_latency_ms,tp,fp,fn,tn,coverage,tau,score_threshold,notes_choice
baseline,200,0.87,0.9868421052631579,0.75,0.8522727272727272,535.2491555025335,75,1,25,99,1.0,,,
stronger_criteria,200,0.825,0.9850746268656716,0.66,0.7904191616766467,520.0868044642266,66,1,34,99,1.0,,,
dual_gate_τ=0.5,200,0.83,0.9852941176470589,0.67,0.7976190476190478,535.2491555025335,67,1,33,99,1.0,0.5,,
dual_gate_τ=0.6,200,0.83,0.9852941176470589,0.67,0.7976190476190478,535.2491555025335,67,1,33,99,1.0,0.6,,
dual_gate_τ=0.7,200,0.825,0.9850746268656716,0.66,0.7904191616766467,535.2491555025335,66,1,34,99,1.0,0.7,,
dual_gate_τ=0.8,200,0.82,0.9848484848484849,0.65,0.7831325301204819,535.2491555025335,65,1,35,99,1.0,0.8,,
score_rubric,200,0.825,0.9850746268656716,0.66,0.7904191616766467,510.29027376440354,66,1,34,99,1.0,,1.5,
title_only,200,0.735,0.9795918367346939,0.48,0.6442953020134228,491.22500039753504,48,1,52,99,1.0,,,baseline
title_abstract,200,0.87,0.9868421052631579,0.75,0.8522727272727272,535.2491555025335,75,1,25,99,1.0,,,
conf_gate_τ=0.5,191,0.8848167539267016,0.9859154929577465,0.7692307692307693,0.8641975308641977,536.1478842663242,70,1,21,99,0.955,0.5,,
conf_gate_τ=0.6,191,0.8848167539267016,0.9859154929577465,0.7692307692307693,0.8641975308641977,536.1478842663242,70,1,21,99,0.955,0.6,,
conf_gate_τ=0.7,189,0.8888888888888888,0.9857142857142858,0.7752808988764045,0.8679245283018868,535.9810050798669,69,1,20,99,0.945,0.7,,
conf_gate_τ=0.8,187,0.893048128342246,0.9855072463768116,0.7816091954022989,0.8717948717948718,535.7031120487892,68,1,19,99,0.935,0.8,,
